player,xA,xG,DCI,A,G,Shots,Passes_to_Shot,Total_contribution,Cluster,Cluster_Label
Marek Hamšík,8.386888,5.8059573,0.8420161717641743,11.0,6.0,84.0,81.0,17.0,2,Good Performance
Lorenzo Insigne,8.058965,11.922057,0.5135806660780414,10.0,12.0,135.0,58.0,22.0,2,Good Performance
Allan Marques Loureiro,5.057558,2.9930606,0.5972495924666438,5.0,3.0,29.0,35.0,8.0,0,Low Performance
Jorge Luiz Frello Filho,4.457499,0.012864862,1.0,4.0,0.0,6.0,63.0,4.0,0,Low Performance
José María Callejón Bueno,4.00993,6.945088,0.3936988932670995,6.0,7.0,64.0,40.0,13.0,4,Average Performance
Dries Mertens,3.4108636,5.065881,0.1958817025207443,5.0,5.0,55.0,26.0,10.0,4,Average Performance
Gonzalo Gerardo Higuaín,2.3998926,36.026913,0.33342617536228886,2.0,36.0,182.0,47.0,38.0,1,High Performance
Faouzi Ghoulam,2.0741985,0.04199561,0.5548938695762063,3.0,0.0,22.0,28.0,3.0,0,Low Performance
Elseid Hysaj,2.0511942,0.019599395,0.5669176712006351,2.0,0.0,12.0,24.0,2.0,0,Low Performance
Manolo Gabbiadini,1.822027,4.930614,0.047657622947007365,3.0,5.0,30.0,10.0,8.0,4,Average Performance
David López Silva,1.0262645,1.0086876,0.16716125373597868,1.0,1.0,10.0,6.0,2.0,3,Very Low Performance
Raúl Albiol i Tortajada,0.9919571,1.0107801,0.6488411461817207,1.0,1.0,9.0,4.0,2.0,0,Low Performance
Omar El Kaddouri,0.89672697,1.0167211,0.0529466302205789,2.0,1.0,11.0,7.0,3.0,3,Very Low Performance
Mirko Valdifiori,0.20267521,0.0025758506,0.10687053628733034,0.0,0.0,1.0,12.0,0.0,3,Very Low Performance
Kalidou Koulibaly,0.11087588,0.01884659,0.6311798391590792,0.0,0.0,5.0,9.0,0.0,0,Low Performance
José Manuel Reina Páez,0.062137984,0.0,0.22586723087752955,0.0,0.0,0.0,1.0,0.0,3,Very Low Performance
Ivan Strinić,0.033659764,0.00411508,0.05068862437346702,0.0,0.0,3.0,1.0,0.0,3,Very Low Performance
Vlad Iulian Chiricheș,0.022228917,0.9980707,0.14031381153954914,0.0,1.0,5.0,0.0,1.0,3,Very Low Performance
Christian Maggio,0.019105056,0.0014824605,0.05500218337995344,0.0,0.0,1.0,2.0,0.0,3,Very Low Performance
Nathaniel Chalobah,0.000490784,0.0,0.012983698826357075,0.0,0.0,0.0,2.0,0.0,3,Very Low Performance
Gabriel Vasconelos Ferreira,0.0002980829,0.0,0.0036605477451909954,0.0,0.0,0.0,0.0,0.0,3,Very Low Performance
Vasco Regini,1.3311277e-05,0.0,0.0011343388972225546,0.0,0.0,0.0,0.0,0.0,3,Very Low Performance
